n,ratio
215,1.0656854426161455
216,1.0045304428389163
217,1.0730606140442567
218,0.959126516184863
219,0.9051730179241855
220,1.0231148743518357
221,1.0273219518074315
222,1.0035833668869925
223,1.040862354396381
224,0.9728531859760041
225,0.9487952362385447
226,0.9840844426189517
227,1.0191194739476377
228,1.071555236338866
229,0.9927972758414412
230,0.9834172643977321
231,1.0556632130398895
232,1.0126294918623966
233,0.9415125375925467
234,0.9394788324013545
235,0.999256823519235
236,0.9948565504210749
237,1.025774854690556
238,1.0101165021892446
239,1.0008723292580979
240,0.9914161638904299
241,0.9493329184913616
242,1.0094803927186748
243,0.966541708963908
244,0.9746143892014033
245,1.0247747138114969
246,1.0211307310554831
247,1.0038731793942657
248,0.9957396781776374
249,1.0175902872753102
250,0.9781997547966547
251,0.9498137400955851
252,1.0209203292759652
253,1.0062684274575369
254,1.028367400715194
255,0.9532736868139036
256,0.9945793200533144
257,0.9373881324652521
258,0.9931861526887235
259,0.9913714882485151
260,1.0043264648505985
261,0.9631831867242651
262,1.027586656735964
263,1.0520077539648314
264,1.0103464701899914
265,1.0424410935591897
266,1.012603048244626
267,0.9538083216060143
268,0.9886803967017659
269,0.9839903120542602
270,0.9887843012150288
271,0.9968435698077683
272,1.0106400384238663
273,1.0107372264872367
274,0.9545195167574627
275,0.9321141661181844
276,0.9660753455342383
277,0.9761913383562975
278,0.9898754989629271
279,0.9722828566448455
280,1.0098883924145639
281,0.9505106137220873
282,0.9531079711976838
283,0.9897999147251572
284,0.9625831538120679
285,0.9895977592153588
286,1.0063454658077058
287,0.9608531677382904
288,1.0194602672294297
289,1.0069721242400866
290,0.9375261709963666
291,0.976405633346955
292,1.0122917242401988
293,0.9252278313592527
294,0.9907387333944361
295,1.0024802188657187
296,1.0158719255992084
297,1.0939809905783895
298,0.9896878926741669
299,0.9933756408842758
300,0.8616197355132802
301,0.9294707313886974
302,0.9422572198664804
303,0.9996980362306139
304,1.064513541298707
305,1.0304953551716678
306,0.9794222960309764
307,0.9974710629576125
308,1.001330674138649
309,1.0368761058686597
310,0.9673426130931305
311,0.9678767992936754
312,0.9912609414890136
313,0.9800306433409091
314,0.9687036791906287
315,0.9471879975843348
316,0.9544341316541125
317,0.9285981391401089
318,0.946155016944911
319,1.00435307735868
320,1.067158492394923
321,0.9663505490839176
322,1.0044710503735192
323,0.9274635203400612
324,1.0381479966606568
325,1.0369553937923255
326,1.008418919096356
327,0.9926214657822019
328,1.0286592369009433
329,0.9427565391013153
330,0.9746042748838957
331,0.9506411218351052
332,1.0017715288657034
333,1.0087289645143231
334,0.9772029213580142
335,0.9841889630862175
336,0.9689126294478366
337,1.1056627091221995
338,1.0146051569292738
339,0.9337911873042661
340,1.0919181401592088
341,1.0686911838965012
342,1.0368797858656664
343,1.0068564446111792
344,0.9716732404249764
345,0.9518880997953614
346,0.8923409979837028
347,1.0115525548121165
348,0.9859032688466357
349,0.9611569447946829
350,0.958162589591234
351,0.9677299865333534
352,0.9804732410228799
353,0.9843172963126623
354,1.020591692646972
355,0.9932270606518148
356,1.0128641693141973
357,1.0093777521562226
358,0.9510839013801117
359,0.9887212230816121
360,0.9928139362102216
361,1.0444354549943067
362,1.0034451721560596
363,0.9295623299568236
364,0.9544721457561419
365,0.9601021985096505
366,0.9345416355260322
367,1.0394624094271412
368,1.004959588694684
369,0.9524635305829711
370,1.0016082859098976
371,0.9829675773063239
372,1.1062081512472002
373,0.9918927763040567
