q,1,3,6,12,24,48
0.4179104477611944, 0.849, 0.725, 0.574, 0.439, 0.269, 0.1, 
0.4154228855721397, 0.842, 0.665, 0.567, 0.433, 0.237, 0.093, 
0.412935323383085, 0.821, 0.692, 0.586, 0.399, 0.237, 0.085, 
0.41044776119403026, 0.82, 0.688, 0.525, 0.387, 0.192, 0.079, 
0.40796019900497554, 0.824, 0.652, 0.527, 0.364, 0.206, 0.09, 
0.40547263681592083, 0.82, 0.674, 0.511, 0.372, 0.19, 0.059, 
0.4029850746268661, 0.824, 0.644, 0.486, 0.3, 0.166, 0.053, 
0.4004975124378114, 0.775, 0.621, 0.491, 0.322, 0.182, 0.052, 
0.3980099502487567, 0.788, 0.625, 0.481, 0.318, 0.159, 0.041, 
0.39552238805970197, 0.803, 0.615, 0.476, 0.303, 0.134, 0.036, 
0.39303482587064725, 0.783, 0.619, 0.46, 0.321, 0.136, 0.033, 
0.39054726368159254, 0.765, 0.607, 0.46, 0.284, 0.142, 0.032, 
0.3880597014925378, 0.761, 0.609, 0.44, 0.286, 0.134, 0.024, 
0.3855721393034831, 0.79, 0.602, 0.42, 0.251, 0.102, 0.024, 
0.3830845771144284, 0.785, 0.569, 0.418, 0.239, 0.1, 0.026, 
0.3805970149253737, 0.74, 0.563, 0.407, 0.24, 0.083, 0.019, 
0.37810945273631896, 0.754, 0.548, 0.376, 0.206, 0.075, 0.011, 
0.37562189054726425, 0.754, 0.551, 0.392, 0.213, 0.088, 0.01, 
0.37313432835820953, 0.754, 0.544, 0.38, 0.218, 0.074, 0.011, 
0.3706467661691548, 0.744, 0.547, 0.378, 0.188, 0.072, 0.005, 
0.3681592039801001, 0.755, 0.496, 0.383, 0.174, 0.065, 0.005, 
0.3656716417910454, 0.719, 0.521, 0.368, 0.179, 0.067, 0.007, 
0.3631840796019907, 0.716, 0.536, 0.371, 0.181, 0.057, 0.006, 
0.36069651741293596, 0.703, 0.512, 0.345, 0.167, 0.041, 0.001, 
0.35820895522388124, 0.718, 0.516, 0.327, 0.15, 0.053, 0.007, 
0.3557213930348265, 0.703, 0.496, 0.321, 0.168, 0.043, 0.006, 
0.3532338308457718, 0.715, 0.471, 0.291, 0.148, 0.038, 0.006, 
0.3507462686567171, 0.689, 0.469, 0.312, 0.119, 0.043, 0.001, 
0.3482587064676624, 0.702, 0.478, 0.325, 0.137, 0.036, 0.002, 
0.34577114427860767, 0.675, 0.462, 0.273, 0.109, 0.032, 0.001, 
0.34328358208955295, 0.701, 0.442, 0.259, 0.119, 0.026, 0.003, 
0.34079601990049824, 0.687, 0.47, 0.279, 0.109, 0.026, 0.001, 
0.3383084577114435, 0.667, 0.443, 0.247, 0.116, 0.024, 0.001, 
0.3358208955223888, 0.662, 0.447, 0.269, 0.093, 0.016, 0.0, 
0.3333333333333341, 0.679, 0.396, 0.254, 0.093, 0.012, 0.002, 
0.3308457711442794, 0.674, 0.386, 0.23, 0.079, 0.016, 0.002, 
0.32835820895522466, 0.682, 0.405, 0.232, 0.083, 0.021, 0.0, 
0.32587064676616995, 0.65, 0.397, 0.223, 0.078, 0.008, 0.0, 
0.32338308457711523, 0.663, 0.38, 0.201, 0.067, 0.014, 0.0, 
0.3208955223880605, 0.653, 0.386, 0.182, 0.071, 0.015, 0.0, 
0.3184079601990058, 0.609, 0.383, 0.22, 0.067, 0.011, 0.002, 
0.3159203980099511, 0.638, 0.396, 0.195, 0.071, 0.003, 0.0, 
0.31343283582089637, 0.611, 0.361, 0.195, 0.078, 0.004, 0.001, 
0.31094527363184166, 0.608, 0.353, 0.198, 0.061, 0.008, 0.0, 
0.30845771144278694, 0.615, 0.343, 0.166, 0.059, 0.006, 0.0, 
0.3059701492537322, 0.611, 0.325, 0.169, 0.044, 0.002, 0.0, 
0.3034825870646775, 0.616, 0.329, 0.153, 0.041, 0.004, 0.0, 
0.3009950248756228, 0.607, 0.341, 0.172, 0.038, 0.002, 0.0, 
0.2985074626865681, 0.597, 0.293, 0.149, 0.038, 0.005, 0.0, 
0.29601990049751337, 0.576, 0.343, 0.14, 0.042, 0.002, 0.0, 
0.29353233830845865, 0.601, 0.306, 0.129, 0.038, 0.004, 0.001, 
0.29104477611940394, 0.581, 0.34, 0.166, 0.024, 0.003, 0.0, 
0.2885572139303492, 0.578, 0.307, 0.126, 0.04, 0.006, 0.0, 
0.2860696517412945, 0.564, 0.295, 0.126, 0.021, 0.001, 0.0, 
