n,0.001,0.01,0.1
89, -5.686281493139111e-17, -8.208191044540901e-17, -4.03963486805445e-16, 
90, -5.591013320125793e-17, -1.8016761357133455e-16, -4.323405941521714e-16, 
91, 4.046111117287036e-17, 2.7742883453560808e-17, -2.1869044324729704e-16, 
92, 3.4122609897012525e-17, -6.47756142405864e-17, -6.450228445060968e-16, 
93, -4.7809014806767325e-17, -5.997266190491064e-17, -6.291190503268386e-16, 
94, 6.325877595927619e-18, 1.6728464147112455e-17, -4.804976615203882e-16, 
95, 2.177825379829731e-17, -1.1145562259270194e-16, -5.602341928800478e-16, 
96, 2.34996276088833e-17, -7.72812274175033e-17, -6.380168521247767e-16, 
97, -3.1971614357773e-17, 4.122745756133488e-17, -5.629021554115996e-16, 
98, 2.313548474031988e-17, -3.933392216807216e-17, -4.253030256974662e-16, 
99, -6.331053913076976e-18, -2.8098662958615384e-17, -6.835204699370101e-16, 
100, -5.379578841990149e-17, -6.478544313419673e-17, -6.841367020681584e-16, 
101, -3.987137404953387e-17, -7.034655754952647e-17, -4.848999025308704e-16, 
102, -3.217590476412289e-17, -4.6388075950329475e-17, -7.799904564808815e-16, 
103, -6.274338744177835e-17, -1.4298766017058253e-16, -5.217304650503222e-16, 
104, 1.8790826767662838e-17, -1.617605831308645e-16, -6.530138897905411e-16, 
105, -3.304512249239099e-17, -2.0743661095791202e-17, -5.768842581943553e-16, 
106, 1.8198978183535588e-17, -1.8094347696857222e-16, -5.29234612260419e-16, 
107, 2.4359019326375604e-17, -5.613591832727714e-17, -5.037604364114562e-16, 
108, 2.912503701809138e-18, -2.6278435847926918e-17, -6.07014214820461e-16, 
109, 5.3151223975444306e-17, -1.6686630820409034e-16, -7.189146116095325e-16, 
110, -3.6872785337346135e-17, -8.986960829738318e-17, -7.658659025362282e-16, 
111, -1.4663093230901463e-17, -6.463336959431421e-17, -8.829483650160286e-16, 
112, 2.3612848116603144e-17, -1.1896934649174323e-16, -6.715541746007418e-16, 
113, 4.7246713793683743e-17, -2.249205294993254e-18, -5.883374000964114e-16, 
114, -6.537423572231981e-17, 1.3969889662184274e-18, -7.053195678838815e-16, 
115, 3.258684405486783e-17, -2.566086898638352e-17, -6.655753375941831e-16, 
116, 1.0586142677876193e-17, -6.37893384865737e-17, -6.942699706075422e-16, 
117, -3.298773501683838e-17, -1.312579224045806e-16, -6.706279610957554e-16, 
118, 4.090809930247636e-17, 6.938831933596759e-17, -6.573944086661529e-16, 
119, -8.688703478157093e-18, -1.3309347496170912e-17, -9.22106722773857e-16, 
120, -2.1658974035803012e-17, -7.390377129966945e-17, -8.313727343128114e-16, 
121, -5.1008774371361485e-17, -9.615541607844133e-17, -8.882439769563355e-16, 
122, -5.603973837082788e-17, -1.2918966142437686e-16, -5.004337867938267e-16, 
