n,0.001,0.01,0.1
88, 7.823267553473615e-17, 7.265695702570096e-16, -2.6970150301398977e-15, 
89, 4.5540253000976996e-17, 7.873869600107987e-16, -2.7756656305533757e-15, 
90, 1.0396399452405071e-16, 6.765600246586905e-16, -3.005253534832292e-15, 
91, 9.768348723727739e-17, 7.778047602812988e-16, -2.605102113712608e-15, 
92, 4.926256739977493e-17, 7.754000690892575e-16, -3.0102797151254298e-15, 
93, 4.53345449858475e-17, 8.833632421154444e-16, -2.9289028212221157e-15, 
94, 5.923996912373767e-17, 8.748440570803436e-16, -3.104205710582805e-15, 
95, 2.6854112495996353e-17, 8.109954523487976e-16, -2.850040105897277e-15, 
96, 1.0424161443846344e-16, 9.365288992808545e-16, -3.011533812866384e-15, 
97, 1.2280353194349115e-16, 7.95658526036987e-16, -3.0486639330242677e-15, 
98, 7.405005912998208e-17, 8.018668324110578e-16, -3.1460353894294423e-15, 
99, 2.949202658929156e-17, 8.521521415923289e-16, -3.0518182363651047e-15, 
100, 1.3007483196906703e-16, 8.627500432885555e-16, -2.8729976537209918e-15, 
101, 1.1739122214085968e-16, 8.906777490340573e-16, -3.011347819141728e-15, 
102, 1.2642619436389526e-16, 8.697473336318586e-16, -3.194146142309444e-15, 
103, 1.5062921128671493e-16, 9.329076013520418e-16, -3.1493660216608816e-15, 
104, 9.976347912733178e-17, 8.715985430591523e-16, -3.1037218225726947e-15, 
105, 1.0636097513723186e-16, 1.0155368145263327e-15, -3.2241552183991926e-15, 
106, 1.0615599025934837e-16, 1.0352531244438947e-15, -3.030425981042532e-15, 
107, 1.4001332421359598e-16, 9.03737489761849e-16, -3.1914207154484516e-15, 
108, 7.211547916609239e-17, 9.35742387214164e-16, -3.631292259575458e-15, 
109, 6.349831417495521e-17, 9.491773256580797e-16, -3.2440020887768316e-15, 
110, 9.436517212475531e-17, 9.16050284418916e-16, -3.274587250539385e-15, 
111, 3.4320669630760734e-17, 9.850815768749426e-16, -3.5323941587473017e-15, 
112, 1.5231954717402577e-16, 8.839444798358585e-16, -3.3373234334938335e-15, 
113, 1.340246684300359e-16, 9.239151817867645e-16, -3.577836165312495e-15, 
114, 8.362657359633817e-17, 9.75285744342593e-16, -3.6211131659641e-15, 
115, 1.0522014751049426e-16, 1.0256323768955164e-15, -3.3459633780182187e-15, 
116, 1.305567055792431e-16, 1.073743006635177e-15, -3.6509785110186556e-15, 
117, 1.0891607990271239e-16, 1.0486811104349287e-15, -3.795604169178784e-15, 
118, 5.299880593777073e-17, 1.0905612105195707e-15, -3.6318316803525705e-15, 
119, 8.429363539224248e-17, 1.06158947217939e-15, -3.633058899343416e-15, 
