q,1,3,6,12,24,48
0.3782435129740487, 0.684, 0.41, 0.23, 0.083, 0.016, 0.003, 
0.3772455089820327, 0.703, 0.415, 0.221, 0.085, 0.015, 0.0, 
0.3762475049900167, 0.686, 0.373, 0.234, 0.085, 0.013, 0.0, 
0.3752495009980007, 0.715, 0.391, 0.232, 0.072, 0.02, 0.0, 
0.3742514970059847, 0.693, 0.39, 0.226, 0.08, 0.018, 0.001, 
0.3732534930139687, 0.66, 0.402, 0.203, 0.083, 0.018, 0.0, 
0.3722554890219527, 0.654, 0.445, 0.226, 0.085, 0.01, 0.0, 
0.3712574850299367, 0.638, 0.366, 0.214, 0.077, 0.017, 0.0, 
0.3702594810379207, 0.653, 0.409, 0.219, 0.074, 0.007, 0.0, 
0.36926147704590473, 0.651, 0.373, 0.219, 0.071, 0.011, 0.0, 
0.36826347305388873, 0.669, 0.403, 0.207, 0.074, 0.013, 0.0, 
0.36726546906187274, 0.659, 0.384, 0.206, 0.062, 0.008, 0.0, 
0.36626746506985675, 0.678, 0.369, 0.202, 0.058, 0.009, 0.0, 
0.36526946107784075, 0.656, 0.375, 0.201, 0.063, 0.008, 0.001, 
0.36427145708582476, 0.65, 0.37, 0.178, 0.05, 0.01, 0.0, 
0.36327345309380876, 0.626, 0.382, 0.174, 0.064, 0.011, 0.001, 
0.36227544910179277, 0.639, 0.369, 0.187, 0.058, 0.007, 0.0, 
0.3612774451097768, 0.637, 0.356, 0.189, 0.05, 0.01, 0.0, 
0.3602794411177608, 0.631, 0.361, 0.173, 0.059, 0.005, 0.0, 
0.3592814371257448, 0.651, 0.363, 0.155, 0.042, 0.005, 0.0, 
0.3582834331337288, 0.625, 0.337, 0.181, 0.058, 0.008, 0.0, 
0.3572854291417128, 0.627, 0.323, 0.143, 0.05, 0.003, 0.0, 
0.3562874251496968, 0.625, 0.364, 0.155, 0.049, 0.003, 0.0, 
0.3552894211576808, 0.625, 0.348, 0.178, 0.042, 0.002, 0.0, 
0.3542914171656648, 0.615, 0.344, 0.163, 0.037, 0.002, 0.0, 
0.3532934131736488, 0.642, 0.347, 0.152, 0.051, 0.006, 0.0, 
0.3522954091816328, 0.617, 0.334, 0.155, 0.03, 0.008, 0.0, 
0.35129740518961683, 0.603, 0.342, 0.15, 0.034, 0.001, 0.0, 
0.35029940119760083, 0.607, 0.315, 0.139, 0.026, 0.003, 0.0, 
0.34930139720558484, 0.594, 0.332, 0.156, 0.027, 0.004, 0.0, 
0.34830339321356885, 0.584, 0.316, 0.137, 0.037, 0.002, 0.0, 
0.34730538922155285, 0.612, 0.328, 0.137, 0.04, 0.002, 0.0, 
0.34630738522953686, 0.582, 0.295, 0.15, 0.038, 0.007, 0.0, 
0.34530938123752086, 0.639, 0.285, 0.133, 0.027, 0.003, 0.0, 
0.34431137724550487, 0.611, 0.302, 0.12, 0.031, 0.001, 0.0, 
0.3433133732534889, 0.592, 0.297, 0.143, 0.026, 0.003, 0.0, 
0.3423153692614729, 0.59, 0.306, 0.12, 0.032, 0.004, 0.0, 
0.3413173652694569, 0.588, 0.312, 0.121, 0.029, 0.001, 0.0, 
0.3403193612774409, 0.619, 0.285, 0.104, 0.022, 0.001, 0.0, 
0.3393213572854249, 0.578, 0.278, 0.129, 0.031, 0.001, 0.0, 
0.3383233532934089, 0.588, 0.305, 0.125, 0.023, 0.0, 0.0, 
0.3373253493013929, 0.564, 0.276, 0.123, 0.021, 0.002, 0.0, 
0.3363273453093769, 0.574, 0.275, 0.102, 0.026, 0.005, 0.0, 
0.3353293413173609, 0.576, 0.252, 0.116, 0.022, 0.002, 0.0, 
0.3343313373253449, 0.537, 0.275, 0.114, 0.017, 0.002, 0.0, 
0.33333333333332893, 0.556, 0.278, 0.111, 0.025, 0.002, 0.0, 
0.33233532934131294, 0.566, 0.257, 0.107, 0.023, 0.0, 0.0, 
0.33133732534929694, 0.549, 0.265, 0.104, 0.013, 0.0, 0.0, 
0.33033932135728095, 0.556, 0.26, 0.101, 0.016, 0.001, 0.0, 
0.32934131736526495, 0.553, 0.252, 0.109, 0.021, 0.0, 0.0, 
0.32834331337324896, 0.547, 0.242, 0.086, 0.014, 0.0, 0.0, 
0.32734530938123296, 0.554, 0.242, 0.104, 0.017, 0.001, 0.0, 
0.32634730538921697, 0.539, 0.246, 0.09, 0.015, 0.0, 0.0, 
0.325349301397201, 0.53, 0.253, 0.074, 0.016, 0.0, 0.0, 
0.324351297405185, 0.532, 0.257, 0.078, 0.015, 0.001, 0.0, 
0.323353293413169, 0.537, 0.219, 0.089, 0.008, 0.0, 0.0, 
0.322355289421153, 0.566, 0.216, 0.1, 0.013, 0.004, 0.0, 
0.321357285429137, 0.546, 0.211, 0.09, 0.012, 0.001, 0.0, 
0.320359281437121, 0.542, 0.248, 0.07, 0.015, 0.0, 0.0, 
0.319361277445105, 0.548, 0.219, 0.077, 0.017, 0.001, 0.0, 
0.318363273453089, 0.543, 0.231, 0.092, 0.014, 0.0, 0.0, 
0.317365269461073, 0.527, 0.206, 0.086, 0.012, 0.0, 0.0, 
0.316367265469057, 0.555, 0.242, 0.077, 0.014, 0.002, 0.0, 
0.31536926147704103, 0.552, 0.206, 0.059, 0.011, 0.0, 0.0, 
0.31437125748502504, 0.536, 0.222, 0.08, 0.011, 0.001, 0.0, 
0.31337325349300904, 0.521, 0.201, 0.067, 0.012, 0.0, 0.0, 
